"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"2832","Q85788038","Nauru national rugby union team","national rugby union team",NA,NA,NA,NA,"Nauru",NA,NA,NA,NA,NA,NA,"11fn0jcl6x","Nauru_national_rugby_union_team","%C3%89quipe_de_Nauru_de_rugby_%C3%A0_XV",NA,NA,NA,"http://dbpedia.org/resource/Nauru_national_rugby_union_team"
"2835","Q85814471","Warriston RFC","rugby union club",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11fs93ncmz","Warriston_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Warriston_RFC"
"2836","Q85815139","West of Scotland District","rugby union team",NA,NA,"West of Scotland District (rugby union); West of Scotland",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11fs8r_571","West_of_Scotland_District_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/West_of_Scotland_District_(rugby_union)"
"2837","Q85845658","Cincinnati Rugby Football Club","rugby union club","1974-01-01",NA,"Cincinnati RFC; Cincinnati Wolfhounds",NA,"U.S.A.",NA,NA,NA,NA,"Cincinnati",NA,"11h8f4m8p3","Cincinnati_Wolfhounds",NA,NA,NA,NA,"http://dbpedia.org/resource/Cincinnati_Wolfhounds"
"2838","Q85846875","Palmer College Rugby Football Club","rugby union club","1960-01-01",NA,"Palmer College RFC; Palmer Rugby; Milwaukee Barbarians Athletic Club",NA,"U.S.A.","Midwest Rugby Premiership",NA,NA,NA,"Davenport",NA,"11fpqw_cjy","Palmer_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Palmer_Rugby"
"2853","Q95115354","Libelluli Rugby Football Club","rugby union team","1990-01-01",NA,"Libelluli",NA,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2854","Q95565441","Narvskaya Zastava Rugby Club","rugby union club",NA,NA,"Нарвская Застава (регбийный клуб); РК Нарвская Застава",NA,"Russia",NA,NA,NA,NA,"Saint Petersburg",NA,"11ft3v_fjz",NA,NA,NA,NA,NA,NA
"2855","Q96071617","LA Giltinis","rugby union team",NA,NA,"Los Angeles Giltinis",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11j6schclj","LA_Giltinis","Giltinis_de_Los_Angeles",NA,"Los_Angeles_Giltinis","LA%E3%82%AE%E3%83%AB%E3%83%86%E3%82%A3%E3%83%8B%E3%82%B9","http://dbpedia.org/resource/LA_Giltinis"
"2856","Q96073676","Dallas Jackals","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11jn3hn0fn","Dallas_Jackals","Jackals_de_Dallas",NA,"Dallas_Jackals","%E3%83%80%E3%83%A9%E3%82%B9%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AB%E3%83%AB%E3%82%BA","http://dbpedia.org/resource/Dallas_Jackals"
"2857","Q96147221","Netherlands national under-20 rugby union team","rugby union team",NA,NA,"Selección juvenil de rugby de los Países Bajos",NA,"Netherlands",NA,NA,NA,NA,NA,NA,"11jn6chnlg","Netherlands_national_under-20_rugby_union_team","%C3%89quipe_des_Pays-Bas_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_los_Pa%C3%ADses_Bajos",NA,"http://dbpedia.org/resource/Netherlands_national_under-20_rugby_union_team"
"2858","Q96240634","France national under-17 rugby union team","rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2860","Q96356436","Club de Rugbi Bonanova","rugby union team","1969-01-01","2001-01-01","CR Bonanova",NA,"Spain",NA,NA,"Camp Municipal de Rugby La Foixarda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2861","Q96356605","Club de Rugby Majadahonda","rugby union team","1991-01-01",NA,"CR Majadahonda",NA,"Spain",NA,NA,NA,NA,"Majadahonda",NA,NA,NA,NA,NA,"Club_de_Rugby_Majadahonda",NA,NA
"2862","Q96371391","Aberdeen Nomads RFC","rugby union club",NA,NA,"Aberdeen Nomads Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11j5hn32t6","Aberdeen_Nomads_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Aberdeen_Nomads_RFC"
"2863","Q96372319","Ardrossan Castle Foot-Ball Club","defunct rugby union club",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11fwc1bn0h","Ardrossan_Castle_Foot-Ball_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Ardrossan_Castle_Foot-Ball_Club"
"2866","Q96375057","Cities District rugby team","rugby union team",NA,NA,"Glasgow-Edinburgh District rugby team; Cities District (rugby union); Cities; Cities District",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11j3735b49","Cities_District_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/Cities_District_(rugby_union)"
"2868","Q96379929","Greenock Osborne F.C.","rugby union club",NA,NA,"Osborne Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11fwpb13wx","Greenock_Osborne_F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Greenock_Osborne_F.C."
"2869","Q96391639","Malaysia Valke","rugby union club",NA,NA,NA,NA,"Malaysia",NA,NA,NA,NA,NA,NA,"11ft3vwvd6","Malaysia_Valke",NA,NA,"Malaysia_Valke",NA,"http://dbpedia.org/resource/Malaysia_Valke"
"2870","Q96394258","Muddy York RFC","rugby union club",NA,NA,"Muddy; Toronto Muddy York Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11j6tw3mzl","Muddy_York_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Muddy_York_RFC"
"2872","Q96398205","Paisley Football and Shinty Club","rugby union club",NA,NA,"Paisley Royal Football and Shinty Club",NA,NA,NA,NA,NA,NA,NA,NA,"11j6tw3sm1","Paisley_Football_and_Shinty_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Paisley_Football_and_Shinty_Club"
"2873","Q96400361","Provinces District","rugby union club",NA,NA,"Provinces District (rugby union); Provinces",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11j376313r","Provinces_District_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/Provinces_District_(rugby_union)"
"2874","Q96418948","Michigan RFC","rugby union club",NA,NA,"Michigan Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11jnt6jb2v","Michigan_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Michigan_RFC"
"2876","Q97177935","Chicken Rugby","rugby union team",NA,NA,NA,NA,"Italy",NA,NA,NA,NA,"Rozzano",NA,"11fv40jc3p",NA,NA,"Chicken_Rugby",NA,NA,NA
"2877","Q97180206","Ragbi klub Dorćol","rugby union team",NA,NA,NA,NA,"Serbia",NA,NA,NA,NA,NA,NA,"11jg4r5cn2",NA,NA,"Ragbi_klub_Dor%C4%87ol",NA,NA,NA
"2879","Q97356777","San Diego State Aztecs rugby","rugby union team",NA,NA,"San Diego State Aztecs rugby union; Aztecs; San Diego State Aztecs; rugby club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11jp0fmjd1","San_Diego_State_Aztecs_rugby_union",NA,NA,NA,NA,"http://dbpedia.org/resource/San_Diego_State_Aztecs_rugby_union"
"2882","Q97861229","Kanaloa Hawai’i","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kanaloa_Hawaii",NA,NA,NA,NA,NA
"2884","Q98539235","VfR Döhren","rugby union team","2007-01-01","2020-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2885","Q98734347","Landarbaso Rugby Taldea","rugby union team","2019-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2886","Q99469829","Oulu Rugby Club","rugby union team",NA,NA,NA,NA,"Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2887","Q100605533","Pilier Rugby Club","rugby union team","1989-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2893","Q102860900","Candás Rugby Club","rugby union team",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2895","Q103819785","CAR Sevilla","rugby union team","1976-01-01",NA,"C.A.R",NA,"Spain","División de Honor B de Rugby",NA,NA,NA,NA,NA,"11mvm33dyg","CAR_Sevilla",NA,NA,"CAR_Coanda_Sevilla",NA,NA
"2896","Q104598189","Rugby Club Junkers","rugby union team",NA,NA,NA,NA,"Georgia",NA,NA,NA,NA,"Kiketi",NA,"11qp2_49zf",NA,"Rugby_Club_Iunkerebi",NA,NA,NA,NA
"2898","Q104649868","North Island (rugby union)","rugby union team",NA,NA,"North Island",NA,"New Zealand",NA,NA,NA,NA,NA,NA,"11hj7xqpgf","North_Island_(rugby_union)","%C3%8Ele_du_Nord_(rugby_%C3%A0_XV)",NA,NA,NA,"http://dbpedia.org/resource/North_Island_(rugby_union)"
"2899","Q104649869","South Island (rugby union)","rugby union team",NA,NA,"South Island",NA,"New Zealand",NA,NA,NA,NA,NA,NA,"11hj7xj8pv","South_Island_(rugby_union)","%C3%8Ele_du_Sud_(rugby_%C3%A0_XV)",NA,NA,NA,"http://dbpedia.org/resource/South_Island_(rugby_union)"
"2900","Q104841744","Berlin Irish RFC","rugby union team",NA,NA,"Berlin Irish; Berlin Irish Rugby Football Club",NA,"Germany",NA,NA,NA,NA,NA,NA,"11n5vg20wk","Berlin_Irish_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Berlin_Irish_RFC"
"2902","Q104851532","Dallas RFC","rugby union team",NA,NA,"Dallas Rugby; The Reds; Dallas Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11jy0yyhjm","Dallas_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Dallas_RFC"
"2914","Q104879075","Rugby Eagles Luxembourg","rugby union club",NA,NA,NA,NA,"Luxembourg",NA,NA,NA,NA,NA,NA,"11qprcclrm","Rugby_Eagles_Luxembourg",NA,NA,NA,NA,"http://dbpedia.org/resource/Rugby_Eagles_Luxembourg"
"2917","Q105334502","Saint Vincent and the Grenadines national rugby union team","national rugby union team",NA,NA,NA,NA,"Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,"11qp_48wm9","Saint_Vincent_and_the_Grenadines_national_rugby_union_team","%C3%89quipe_de_Saint-Vincent-et-les-Grenadines_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Saint_Vincent_e_Grenadine","Selecci%C3%B3n_de_rugby_de_San_Vicente_y_las_Granadinas",NA,NA
"2918","Q105561254","Royal Air Force Rugby Union","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Royal_Air_Force_Rugby_Union",NA,NA,NA,NA,"http://dbpedia.org/resource/Royal_Air_Force_Rugby_Union"
"2919","Q105883493","United States national under-23 rugby union team","rugby union team",NA,NA,"Men's Collegiate All-Americans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"United_States_national_under-23_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/United_States_national_under-23_rugby_union_team"
"2920","Q106203603","Belgium national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,"%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_B%C3%A9lgica",NA,NA
"2923","Q106620854","WRC Te Werve","rugby union team",NA,NA,"Te Werve",NA,"Netherlands",NA,NA,NA,NA,NA,NA,"11r8t1fl6n",NA,NA,NA,NA,NA,NA
"2931","Q107304762","Pacific Pride","rugby union team",NA,NA,"Pacific Pride (rugby union); ; Rugby Canada National Development Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific_Pride_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/Pacific_Pride_(rugby_union)"
"2932","Q107339843","Union sportive pouillonnaise","rugby union team","1921-01-01","2021-06-01","USP; US Pouillon",NA,"France",NA,NA,NA,NA,"Pouillon",NA,NA,NA,NA,NA,NA,NA,NA
"2933","Q107339878","Association sportive des bleuets labatutois","rugby union team","1908-01-01","2021-06-01","ASBL; ASB Labatut",NA,"France",NA,NA,NA,NA,"Labatut",NA,NA,NA,NA,NA,NA,NA,NA
"2935","Q107345489","Parentis sport rugby","rugby union team","1922-01-01",NA,"PSR; Parentis SR",NA,"France",NA,NA,NA,NA,"Parentis-en-Born",NA,NA,NA,NA,NA,NA,NA,NA
"2936","Q107345498","Rugby Club Nord Landes","rugby union team","2019-05-24",NA,"RC Nord Landes; RCNL",NA,"France",NA,NA,NA,NA,"Labouheyre",NA,NA,NA,NA,NA,NA,NA,NA
"2938","Q107345634","Étoile sportive léonnaise","rugby union team","1906-01-01","2020-06-26","ESL; ES Léon",NA,"France",NA,NA,NA,NA,"Léon",NA,NA,NA,NA,NA,NA,NA,NA
"2939","Q107345657","Racing Club linxois","rugby union team","1922-01-01","2001-06-04","RC Linxe; RCL",NA,"France",NA,NA,NA,NA,"Linxe",NA,NA,NA,NA,NA,NA,NA,NA
"2940","Q107345666","Union sportive castésienne","rugby union team","1907-01-01","2001-06-04","USC; SCC; Sporting Club castésien; US Castets",NA,"France",NA,NA,NA,NA,"Castets",NA,NA,NA,NA,NA,NA,NA,NA
"2941","Q107345674","Rugby Castets Linxe","rugby union team","2001-06-05","2020-06-26","RCL",NA,"France",NA,NA,NA,NA,"Linxe",NA,NA,NA,NA,NA,NA,NA,NA
"2961","Q107523111","Dannevirke Sports Club","rugby union club",NA,NA,"DSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2975","Q107660641","Rostov","rugby union club","2020-01-01",NA,NA,"Rugby Union of Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Rostov",NA,NA,NA,NA
"2997","Q107970196","Glasgow Caledonian University RFC","rugby union club",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3009","Q108301006","Rugby Club amollois","rugby union team","1986-04-16","2018-06-27","RCA; RC Amou",NA,"France",NA,NA,NA,NA,"Amou",NA,NA,NA,NA,NA,NA,NA,NA
"3010","Q108301034","Union sportive pomarézienne","rugby union team","1979-05-01","2018-06-27","USP; US Pomarez",NA,"France",NA,NA,NA,NA,"Pomarez",NA,NA,NA,NA,NA,NA,NA,NA
"3013","Q108304712","Real Soldevilla campétois","rugby union team","2003-01-01","2016-01-01",NA,NA,"France",NA,NA,NA,NA,"Campet-et-Lamolère",NA,NA,NA,NA,NA,NA,NA,NA
"3015","Q108377638","The Black Lion","rugby union team",NA,NA,"Black Lion; Lomi (The Lions); Lomi",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,"Black_Lion_(rugby_union)","Black_Lion",NA,"The_Black_Lion","%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3","http://dbpedia.org/resource/The_Black_Lion"
"3016","Q108415422","AZS-AWFiS Gdańsk Rugby","rugby union team",NA,NA,"AZS-AWFiS Gdańsk; Akademicki Związek Sportowy Akademia Wychowania Fizycznego i Sportu Gdańsk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZS-AWFiS_Gda%C5%84sk_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/AZS-AWFiS_Gdańsk_Rugby"
"3018","Q108565098","Tel Aviv Heat","rugby union team","2021-07-07",NA,NA,NA,"Israel",NA,NA,NA,NA,NA,NA,NA,"Tel_Aviv_Heat","Tel_Aviv_Heat",NA,"Tel_Aviv_Heat","%E3%83%86%E3%83%AB%E3%82%A2%E3%83%93%E3%83%96%E3%83%BB%E3%83%92%E3%83%BC%E3%83%88","http://dbpedia.org/resource/Tel_Aviv_Heat"
"3019","Q108565145","Castilla y León Iberians","rugby union team","2021-01-01",NA,"Castilla y León",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Castilla_y_Le%C3%B3n_Iberians","Castilla_y_Le%C3%B3n_Iberians",NA,"Castilla_y_Le%C3%B3n_Iberians","%E3%82%AB%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%AA%E3%83%A3%E3%83%BB%E3%82%A4%E3%83%BB%E3%83%AC%E3%82%AA%E3%83%B3%E3%83%BB%E3%82%A4%E3%83%99%E3%83%AA%E3%82%A2%E3%83%B3%E3%82%B9","http://dbpedia.org/resource/Castilla_y_León_Iberians"
"3020","Q108666985","The Delta","rugby union team",NA,NA,"The Delta (rugby union)",NA,"Netherlands",NA,NA,NA,NA,NA,NA,NA,"Delta_(rugby_union)","Delta_(rugby_%C3%A0_XV)",NA,"The_Delta","%E3%83%87%E3%83%AB%E3%82%BF_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%BC%E3%83%A0)","http://dbpedia.org/resource/The_Delta_(rugby_union)"
"3022","Q108685870","Brussels Devils","rugby union team",NA,NA,"ブリュッセル・デビルズ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brussels_Devils",NA,"Brussels_Devils","%E3%83%96%E3%83%AA%E3%83%A5%E3%83%83%E3%82%BB%E3%83%AB%E3%83%BB%E3%83%87%E3%83%B4%E3%82%A3%E3%83%AB%E3%82%BA",NA
"3023","Q108803455","Vancouver Island Crimson Tide","rugby union team",NA,NA,"Crimson Tide",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vancouver_Island_Crimson_Tide",NA,NA,NA,NA,"http://dbpedia.org/resource/Vancouver_Island_Crimson_Tide"
"3026","Q109045019","Stade nantais","rugby union club","1907-01-01",NA,"SNUC; S.N.U.C.",NA,"France",NA,NA,NA,NA,"Nantes",NA,NA,NA,"Stade_nantais_universit%C3%A9_club",NA,NA,NA,NA
"3029","Q109315537","Rhodesia Rugby Union Team","national rugby union team","1898-01-01",NA,NA,NA,"Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,"%C3%89quipe_de_Rhod%C3%A9sie_de_rugby_%C3%A0_XV",NA,NA,NA,NA
"3030","Q109344024","National Chengchi University Rugby Team","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031","Q109357812","Aichi Teachers Club","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E6%84%9B%E7%9F%A5%E6%95%99%E5%93%A1%E3%82%AF%E3%83%A9%E3%83%96",NA
"3032","Q109359846","Yokohama TKM","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YOKOHAMA_TKM",NA
"3034","Q109364187","Sompo Reds","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMPO%E3%83%AC%E3%83%83%E3%82%BA",NA
"3038","Q109418248","National Taiwan University rugby team","rugby union team",NA,NA,NA,NA,"Taiwan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3039","Q109452732","Yokogawa Musashino Artemistars","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E6%A8%AA%E6%B2%B3%E6%AD%A6%E8%94%B5%E9%87%8E%E3%82%A2%E3%83%AB%E3%83%86%E3%83%9F%E3%83%BB%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA",NA
"3040","Q109453887","Tsukushi Young Luggers","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E3%81%A4%E3%81%8F%E3%81%97%E3%83%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%82%AC%E3%83%BC%E3%82%BA",NA
"3041","Q109594097","Hercules","rugby union team",NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E3%83%8F%E3%83%BC%E3%82%AD%E3%83%A5%E3%83%AA%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)",NA
"3046","Q109717645","Fleury Olympique","rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Fleury",NA,NA,NA,NA,NA,NA,NA,NA
"3047","Q109717674","Stade Auto Lyon","rugby union team",NA,NA,"Stade Auto lyonnais",NA,"France",NA,NA,NA,NA,"Lyon",NA,NA,NA,NA,NA,NA,NA,NA
"3050","Q109941509","Rugbyende Utrechtse Studenten","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3051","Q110250064","Rugbi Club Sant Andreu","rugby union team","1921-01-01","1925-01-01","RC Sant Andreu",NA,"Spain",NA,NA,NA,NA,"Sant Andreu de Palomar",NA,NA,NA,NA,NA,NA,NA,NA
"3052","Q110588757","Berkeley All Blues","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berkeley_All_Blues",NA,NA,NA,NA,"http://dbpedia.org/resource/Berkeley_All_Blues"
"3053","Q110613058","Life West Gladiators","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"Hayward",NA,NA,"Life_West_Gladiators",NA,NA,NA,NA,"http://dbpedia.org/resource/Life_West_Gladiators"
"3054","Q110741460","Peninsula Seagulls","rugby union team","2014-01-01",NA,"Peninsula Seagulls Rugby League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3055","Q110892002","Stade nayais","rugby union team","1901-01-01","1962-03-11",NA,NA,"France",NA,NA,NA,NA,"Nay",NA,NA,NA,NA,NA,NA,NA,NA
"3059","Q111311281","Químic Equip de Rugby","rugby union team","1986-01-01",NA,"QER; Químic ER",NA,"Spain",NA,NA,NA,NA,"Barcelona",NA,NA,NA,NA,NA,NA,NA,NA
"3060","Q111433687","Amicale sportive magescquoise","rugby union team",NA,"1962-01-01","ASM; AS Magescq",NA,"France",NA,NA,NA,NA,"Magescq",NA,NA,NA,NA,NA,NA,NA,NA
"3061","Q111937086","Eumundi Rugby Union Club","rugby union club",NA,NA,"; Eumundi Rugby Union Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eumundi_Rugby_Union_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Eumundi_Rugby_Union_Club"
"3064","Q112072569","RC Gura Humorului","rugby union team",NA,NA,"Rugby Club Gura Humorului",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Gura_Humorului",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Gura_Humorului"
"3065","Q112077377","CS Năvodari","rugby union team",NA,NA,"CS Năvodari (rugby union); Club Sportiv Năvodari",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_N%C4%83vodari_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/CS_Năvodari_(rugby_union)"
"3066","Q112078058","CSU Alba Iulia","rugby union team",NA,NA,"CSU Alba Iulia (rugby union)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSU_Alba_Iulia_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/CSU_Alba_Iulia_(rugby_union)"
"3067","Q112182543","Gympie Rugby Union Club","rugby union team",NA,NA,"; Gympie Hammers Rugby Union Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gympie_Rugby_Union_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Gympie_Rugby_Union_Club"
"3068","Q112189985","CSM Galați","rugby union team",NA,NA,"CSM Galați (rugby union); Clubul Sportiv Municipal Galați",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSM_Gala%C8%9Bi_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/CSM_Galați_(rugby_union)"
"3071","Q112860723","Nepal national rugby union team","national rugby union team",NA,NA,NA,NA,"Nepal",NA,NA,NA,NA,NA,NA,NA,"Nepal_national_rugby_union_team",NA,NA,NA,NA,NA
"3075","Q113472032","Stade calédonien","rugby union team",NA,NA,"SC; Association Stade calédonien",NA,"France",NA,NA,NA,NA,"Nouméa",NA,NA,NA,NA,NA,NA,NA,NA
"3076","Q113483327","Canberra Raiders","rugby union club",NA,NA,NA,NA,NA,NA,NA,"Canberra Stadium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3077","Q113483334","Cronulla-Sutherland Sharks","rugby union club",NA,NA,NA,NA,NA,NA,NA,"Endeavour Field",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3078","Q113483344","North Queensland Cowboys","rugby union club",NA,NA,NA,NA,NA,NA,NA,"Queensland Country Bank Stadium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3079","Q113507904","Khimik Rugby Club","rugby union club","2021-01-01",NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3080","Q113578817","Nerja Rugby Club","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3082","Q113997254","Rugby Club Eaunes","rugby union team",NA,"2016-06-30","RCE; Rugby Club eaunois XV; RC Eaunes",NA,"France",NA,NA,NA,NA,"Eaunes",NA,NA,NA,NA,NA,NA,NA,NA
"3086","Q114595992","Rugby Monza 1949","defunct rugby union club","2002-01-01","2021-01-01","Monza Rugby femminile; Ringhio Monza; Rugby Monza femminile","Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"Rugby_Monza_(f%C3%A9minines)","Rugby_Monza_1949_(femminile)",NA,NA,NA
"3089","Q115272372","Chicago Hounds","rugby union team","2022-01-01",NA,NA,NA,"U.S.A.","Major League Rugby",NA,"SeatGeek Stadium",NA,"Chicago",NA,NA,"Chicago_Hounds_(rugby_union)","Hounds_de_Chicago_(rugby_%C3%A0_XV)",NA,"Chicago_Hounds","%E3%82%B7%E3%82%AB%E3%82%B4%E3%83%BB%E3%83%8F%E3%82%A6%E3%83%B3%E3%82%BA",NA
"3090","Q115330966","Team Northumbria","rugby union club",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3091","Q115754320","Green Gazelles","rugby union club",NA,NA,"Green Gazelles Rugby Club; The Green Gazelles",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3092","Q115754630","Pacific Tigers rugby","rugby union team","1961-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3093","Q115802958","Diables Barcelona","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diables_Barcelona",NA,NA,NA,"%E3%83%87%E3%82%A3%E3%82%A2%E3%83%96%E3%83%A9%E3%82%B9%E3%83%BB%E3%83%90%E3%83%AB%E3%82%BB%E3%83%AD%E3%83%8A",NA
"3096","Q116057455","Taipei Yuan-kun","rugby union team",NA,NA,"臺北元坤",NA,"Taiwan","Taiwan Corporate Rugby League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
